Capacity,Type,Price
192,DDR5,600
128,DDR5,400
128,DDR4,250
96,DDR5,300
64,DDR5,200
64,DDR4,100
48,DDR5,180
32,DDR5,100
32,DDR4,50
16,DDR5,50
16,DDR4,30
8,DDR5,25
8,DDR4,15
